Plant_ID,Field,number_shared_asvs,shared_stigma_asv_percent,shared_seed_asv_percent,shared_stigma_asv_abund,shared_seed_asv_abund,unique_stigma_asv_percent,unique_seed_asv_percent,unique_stigma_asv_abund,unique_seed_asv_abund
Co1.1,Co1,7,5.46875,30.43478261,13.66422305,76.61290323,94.53125,69.56521739,86.33577695,23.38709677
Co1.3,Co1,4,15.38461538,7.01754386,0.713664217,15.03990178,84.61538462,92.98245614,99.28633578,84.96009822
Co1.4,Co1,8,6.201550388,9.87654321,10.50698016,22.47992864,93.79844961,90.12345679,89.49301984,77.52007136
Co1.5,Co1,9,13.84615385,12.67605634,8.673242125,30.87421616,86.15384615,87.32394366,91.32675787,69.12578384
Co1.6,Co1,7,10.29411765,8.536585366,14.55684069,14.60714715,89.70588235,91.46341463,85.44315931,85.39285285
Co1.8,Co1,3,1.52284264,6.382978723,5.912119575,11.26373626,98.47715736,93.61702128,94.08788042,88.73626374
Co1.10,Co1,12,12.76595745,20.33898305,54.38926806,69.56175299,87.23404255,79.66101695,45.61073194,30.43824701
Co2.1,Co2,10,7.299270073,23.25581395,21.27758885,64.88888889,92.70072993,76.74418605,78.72241115,35.11111111
Co2.2,Co2,7,9.210526316,15.55555556,0.842920606,65.38655887,90.78947368,84.44444444,99.15707939,34.61344113
Co2.4,Co2,9,10.46511628,36,56.29888956,65.56016598,89.53488372,64,43.70111044,34.43983402
Co2.6,Co2,7,13.7254902,21.21212121,5.966712028,46.22030238,86.2745098,78.78787879,94.03328797,53.77969762
Co2.8,Co2,9,15.625,9.259259259,0.295008303,6.121134021,84.375,90.74074074,99.7049917,93.87886598
Co2.9,Co2,12,11.21495327,40,6.242630095,81.9077594,88.78504673,60,93.75736991,18.0922406
SJ1.1,SJ1,17,7.906976744,23.61111111,6.790020559,69.05735756,92.09302326,76.38888889,93.20997944,30.94264244
SJ1.2,SJ1,11,6.25,12.64367816,24.45869118,28.55188306,93.75,87.35632184,75.54130882,71.44811694
SJ1.3,SJ1,41,18.22222222,18.46846847,38.9101862,26.27241442,81.77777778,81.53153153,61.0898138,73.72758558
SJ1.4,SJ1,13,13.13131313,28.88888889,86.69546915,45.59255632,86.86868687,71.11111111,13.30453085,54.40744368
SJ1.5,SJ1,7,18.91891892,8.974358974,81.14519838,7.574774775,81.08108108,91.02564103,18.85480162,92.42522523
SJ1.6,SJ1,16,6.374501992,14.03508772,5.202635257,62.35141815,93.62549801,85.96491228,94.79736474,37.64858185
SJ1.7,SJ1,9,19.14893617,6.428571429,81.47733632,14.77822415,80.85106383,93.57142857,18.52266368,85.22177585
SJ1.8,SJ1,2,8,1.459854015,0.210553699,0.43053293,92,98.54014599,99.7894463,99.56946707
SJ2.2,SJ2,12,4.181184669,16,3.188975333,40.83080041,95.81881533,84,96.81102467,59.16919959
SJ2.3,SJ2,11,9.090909091,16.66666667,68.88774247,47.66552901,90.90909091,83.33333333,31.11225753,52.33447099
SJ2.5,SJ2,18,16.98113208,13.84615385,49.76054732,52.76354319,83.01886792,86.15384615,50.23945268,47.23645681
SJ2.6,SJ2,18,8.571428571,36,15.47373841,50.88937093,91.42857143,64,84.52626159,49.11062907