trt_genus,trt_strain,isolate_source,batch,batch_size,germ_yes_count,germ_yes_prop,germ_yes_percent,normal_pheno_count,normal_pheno_percent
control,sterile_ctrl,No_microbe,1,25,24,0.96,96,13,81.25
control,sterile_ctrl,No_microbe,2,23,23,1,100,15,65.2173913
control,sterile_ctrl,No_microbe,3,23,23,1,100,11,47.826087
control,non.sterile_ctrl,No_microbe,1,25,25,1,100,21,84
control,non.sterile_ctrl,No_microbe,2,25,25,1,100,15,60
control,non.sterile_ctrl,No_microbe,3,25,25,1,100,21,84
Acidovorax_citrulli,AAC001R,Watermelon_seed,1,25,24,0.96,96,6,26.0869565
Acidovorax_citrulli,AAC001R,Watermelon_seed,2,23,23,1,100,21,91.3043478
Acidovorax_citrulli,AAC001R,Watermelon_seed,3,23,22,0.956521739,95.6521739,21,95.4545455
Acidovorax_citrulli,M6R,Watermelon_seed,1,25,24,0.96,96,23,95.8333333
Acidovorax_citrulli,M6R,Watermelon_seed,2,24.00000001,23,0.958333333,95.8333333,23,95.8333333
Acidovorax_citrulli,M6R,Watermelon_seed,3,25,24,0.96,96,20,83.3333333
Paraburkholderia,T.s1.b2,Watermelon_stigma,1,25,15,0.6,60,3,20
Paraburkholderia,T.s1.b2,Watermelon_stigma,2,25,18,0.72,72,1,5.5555556
Paraburkholderia,T.s1.b2,Watermelon_stigma,3,25,22,0.88,88,1,4.5454545
Paraburkholderia,T.s8.b1R,Watermelon_stigma,1,25,25,1,100,21,84
Paraburkholderia,T.s8.b1R,Watermelon_stigma,2,25,25,1,100,21,84
Paraburkholderia,T.s8.b1R,Watermelon_stigma,3,25,25,1,100,20,80
Erwinia,P.s8.b2R,Watermelon_stigma,1,25,15,0.6,60,0,0
Erwinia,P.s8.b2R,Watermelon_stigma,2,25,23,0.92,92,10,43.4782609
Erwinia,P.s8.b2R,Watermelon_stigma,3,25,18,0.72,72,4,22.2222222
Erwinia,P.s1.b3,Watermelon_stigma,1,25,25,1,100,14,56
Erwinia,P.s1.b3,Watermelon_stigma,2,25,25,1,100,15,60
Erwinia,P.s1.b3,Watermelon_stigma,3,25,22,0.88,88,13,59.0909091
Rosenbergiella,P.s10.b1R,Watermelon_stigma,1,25,5,0.2,20,0,0
Rosenbergiella,P.s10.b1R,Watermelon_stigma,2,25,10,0.4,40,0,0
Rosenbergiella,P.s10.b1R,Watermelon_stigma,3,25,9,0.36,36,1,11.1111111
Rosenbergiella,T.s1.b1,Watermelon_stigma,1,25,25,1,100,21,84
Rosenbergiella,T.s1.b1,Watermelon_stigma,2,25,23,0.92,92,16,69.5652174
Rosenbergiella,T.s1.b1,Watermelon_stigma,3,25,23,0.92,92,19,82.6086957